id,name,is_local,is_remote,open_source,license,pricing_model,price_note,accuracy_tier,languages_count,handwriting,math_formula,tables,layout_structure,best_for
azure-document-intelligence,Azure AI Document Intelligence (formerly Form Recognizer),False,True,False,proprietary,free_tier_then_paid,"Pay-as-you-go (US, S0 tier, as of 2026-06): Read OCR ~$1.50 per 1,000 pages (tiered down to ~$0.60/1k above 1M pages/month); Layout ~$10 per 1,000 pages; prebuilt models (Invoice, Receipt, ID, W-2, etc.) ~$10 per 1,000 pages; Custom extraction (neural/template) ~$30 per 1,000 pages (~$20/1k above 1M); Custom classification ~$3 per 1,000 pages. Add-on premium features (high-resolution, font, formula, barcode) ~$6 per 1,000 pages; Query fields ~$10 per 1,000 pages. Custom model training is free; blob storage billed separately. Figures vary by region and change over time; confirm on the official pricing page.",excellent,189,yes,yes,yes,yes,"Production intelligent document processing on Azure where you need high-accuracy structured extraction: invoices, receipts, IDs/passports, US tax forms (W-2/1098/1099/1040), bank statements, pay stubs, mortgage forms, plus Layout (tables, selection marks, reading order, Markdown) and trainable custom extraction/classification models. Strong fit for regulated/enterprise workflows already in the Azure ecosystem, including on-prem via containers."
azure-document-intelligence-read,Azure AI Document Intelligence (Read OCR),False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: Read OCR (S0 paid tier) is $1.50 per 1,000 pages, with a volume tier dropping to ~$0.60 per 1,000 pages above 1M pages/month. Free (F0) tier: first 500 pages/month free, but caps each request to the first 2 pages of a document and 4 MB file size. (For comparison: Layout and most prebuilt models are $10/1,000 pages; custom extraction $50/1,000 pages.) Searchable-PDF output is included at no added cost.",good,300,yes,yes,no,limited,"Cloud-based, high-volume extraction of printed AND handwritten text from documents (PDFs, scans, images) where you need per-word confidence, bounding boxes, broad multilingual coverage, and optional searchable-PDF output — and where sending data to Azure (or running the licensed on-prem container) is acceptable."
claude-vision,Anthropic Claude Vision (Opus / Sonnet / Haiku),False,True,False,proprietary,pay_as_you_go,"As of June 2026, billed per token (not per page). Claude Opus 4.8/4.7/4.6: $5/MTok input, $25/MTok output. Claude Sonnet 4.6: $3/$15. Claude Haiku 4.5: $1/$5. PDF/image pages are billed as extracted-text tokens (~1,500-3,000/page) plus visual tokens (up to ~4,784/page on Opus 4.7+, ~1,568 on other models). Batch API: 50% off both directions; prompt-cache reads cost 0.1x base input. No fixed per-page OCR price.",good,,yes,yes,yes,yes,"Prompt-driven extraction from complex, mixed documents (financial reports, forms, contracts) where you want transcription plus reasoning/structuring (e.g. direct-to-JSON, table-to-markdown, chart Q&A) in one call, rather than raw layout-faithful OCR. Good when you also need handwriting, charts, and key-value extraction and can tolerate API/cloud usage."
extend,Extend,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: credit-based, ""you pay per page"" via credits-per-page x plan per-credit rate. Pay As You Go tier starts free with 10,000 free credits to get started (per-credit rate drops at higher volume). Scale tier is $500/month including 50,000 credits/month with volume discounts. Enterprise is custom-quoted (adds self-hosted/BYOC, SSO/SAML/RBAC, custom rate limits). Example: extracting a 10-page doc on PAYG = 50 credits (5 credits/page). Exact dollar-per-credit not published on the public pricing page.",excellent,,yes,yes,yes,yes,"Production document-processing pipelines for regulated/complex-document industries (financial services, healthcare, logistics, real estate) that need parsing-to-markdown, structured field extraction, classification, and PDF splitting/editing with eval tooling, confidence flagging, and agentic schema refinement — rather than commodity plain-text OCR."
gemini-vision,Google Gemini Vision (1.5 / 2.x / 3),False,True,False,proprietary,free_tier_then_paid,"As of 2026-06, token-billed per the Gemini API pricing page. Representative paid-tier rates per 1M tokens: Gemini 2.5 Flash $0.30 in (text/image/video) / $2.50 out; Gemini 2.5 Pro $1.25 in (<=200k) / $10.00 out; Gemini 2.5 Flash-Lite $0.10 in / $0.40 out; newer-generation Gemini 3.x/3.5 tiers (e.g. Gemini 3 Flash ~$0.50 in / $3.00 out, Gemini 3.1 Pro Preview ~$2-4 in / $12-18 out) per the live pricing page. Images/PDF pages are billed as input tokens: a full image tile or PDF page ~258 tokens (images <=384px = 258 tokens; larger images split into 768x768 tiles at 258 tokens each). Batch mode gives ~50% discount. Prices change frequently; confirm on the pricing page.",excellent,37,yes,yes,yes,yes,"Teams that want one API to do OCR plus understanding — extracting structured data (tables, key-value, JSON), transcribing handwriting/historical documents, reading math/charts, or converting PDFs to Markdown/LaTeX — over long multi-page documents, without standing up local infrastructure, and who can accept cloud processing and LLM non-determinism."
google-cloud-vision-handwriting,Google Cloud Vision (DOCUMENT_TEXT_DETECTION),False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: DOCUMENT_TEXT_DETECTION is billed at $1.50 per 1,000 units (images/pages) for units 1,001–5,000,000/month, and $0.60 per 1,000 units beyond 5,000,000/month. First 1,000 units/month are free. Each image or PDF/TIFF page counts as one unit per requested feature. Pricing is per Google Cloud project per month.",good,,yes,no,no,yes,"Production document and handwriting OCR at scale where a reliable, low-maintenance cloud API is acceptable: scanned forms, letters, notes, dense printed pages, and multilingual documents needing structured blocks/words with bounding boxes and confidence."
google-document-ai,Google Cloud Document AI,False,True,False,proprietary,pay_as_you_go,"As of 2026-06: Enterprise Document OCR $1.50/1,000 pages (1-5M pages/mo), $0.60/1,000 above 5M. Form Parser and Custom Extractor $30/1,000 pages (1-1M), $20/1,000 above 1M. Layout Parser $10/1,000 pages. Pretrained Invoice and Expense/Receipt parsers ~$0.10 per 10 pages; ID parsers (US Driver License, US Passport, Identity Document Proofing) ~$0.10 per document. Custom-model neural training ~$3/hour after first 10 free hours/month. Not billed for failed (4xx/5xx) requests.",good,200,yes,yes,yes,yes,"Enterprises on Google Cloud needing managed, scalable OCR plus structured entity extraction from business documents (invoices, receipts, W2s, pay slips, bank statements, IDs, forms) with key-value pairs, tables, and reading order returned as structured JSON."
google-vision,Google Cloud Vision API (TEXT_DETECTION & DOCUMENT_TEXT_DETECTION),False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: TEXT_DETECTION and DOCUMENT_TEXT_DETECTION are priced identically. First 1,000 units/month free; units 1,001-5,000,000/month at $1.50 per 1,000 units; units 5,000,001+/month at $0.60 per 1,000 units. One ""unit"" = one image (each page of a multi-page PDF/TIFF counts as a separate unit). Prices are USD; non-USD via Cloud SKUs.",excellent,70,yes,no,limited,yes,"General-purpose cloud OCR at scale: extracting printed text from photos/scans/signage (TEXT_DETECTION) and dense multi-page documents plus handwriting with block/paragraph/word structure and bounding boxes (DOCUMENT_TEXT_DETECTION), across many languages and scripts, when you want a managed pay-as-you-go API and don't need on-prem."
gpt-4o-vision,OpenAI GPT-4o / GPT-4.1 Vision,False,True,False,proprietary,pay_as_you_go,"As of 2026-06 (standard API tier): GPT-4o = $2.50/1M input tokens, $10.00/1M output tokens. GPT-4.1 = $2.00/1M input, $8.00/1M output. GPT-4.1 mini ~ $0.40/1M input, $1.60/1M output (cheapest vision-capable option). Images are billed as input tokens by resolution/detail (low ~85 tokens; high mode tiles into 512px patches), so cost is per-token not per-page; a full-page document image in 'high' detail is roughly 1k-3k input tokens. Batch API ~50% discount; cached input ~50-75% off. No per-page OCR price since there is no OCR endpoint.",good,,yes,yes,yes,limited,"Flexible document understanding where you need extraction + reasoning/structuring in one step (key-value extraction, table-to-JSON, summarizing scanned docs, handwriting, charts/infographics) rather than raw high-fidelity transcription. Good when you already use OpenAI and want zero-setup OCR via prompt with schema-constrained JSON output."
klippa,Klippa DocHorizon OCR API,False,True,False,proprietary,proprietary_quote,"No public per-page price list (as of 2026-06). Klippa's own FAQ states 'flexible pricing, including monthly subscriptions and pay-as-you-go options' — price scales with document volume, with high-volume discounts lowering per-document cost. Third-party listings estimate roughly $0.01-0.05 per page by document type, but Klippa does not confirm these publicly. A €25 free-credit self-service trial is available; full pricing is quote-based via the sales/contact form. (The legacy klippa.com/en/pricing URL now 404s after the Doxis rebrand; sign-up is at dochorizon.klippa.com/public/signup.)",good,150+,limited,no,yes,limited,"Structured data extraction from business documents — receipts, invoices, IDs/passports, bank statements, contracts — where you need clean key-value JSON plus fraud detection, verification and GDPR masking, rather than raw full-page OCR. Strong fit for EU-based fintech/accounting/onboarding workflows in Latin-script languages."
llamaparse,LlamaParse,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: credit-based, 1,000 credits = $1.25 (same in North America and Europe). Per-page parse costs (v2 API tiers): Fast = 1 credit/page (~$0.00125), Cost-Effective = 3 credits/page (~$0.00375), Agentic = 10 credits/page (~$0.0125), Agentic Plus = 45 credits/page (~$0.056). Add-ons: layout extraction +3 credits/page; audio 3 credits/min; spreadsheets 1 credit/sheet. Subscription tiers: Free $0 (10K credits/mo), Starter $50/mo (40K credits, PAYG up to $500/mo), Pro $500/mo (400K credits, PAYG up to $5,000/mo), Enterprise custom.",good,,yes,yes,yes,yes,"Teams building RAG/agent pipelines on complex, visually rich documents (financial reports, scientific papers, invoices, insurance/healthcare forms) who want LLM-ready markdown/JSON without managing OCR infrastructure, and who can accept a cloud SaaS and tune the cost/accuracy tier per document."
mathpix,Mathpix (Snip + Convert API),False,True,False,proprietary,freemium,"As of 2026-06. Convert API (pay-as-you-go): images $0.002/image (0-1M), $0.0015/image (1M+); PDF pages $0.005/page (0-1M), $0.0035/page (1M+); live-stroke sessions free up to 1K then $0.01/session. One-time $19.99 API setup fee. Snip app: Free (10 PDF pages + 10 images/month, 2x with .edu email); Pro $4.99/mo or $49.90/yr (1,000 PDF pages + 5,000 images/month); Organization $9.99/mo for 2 users ($4.49/mo per extra user, $3.99 at 50+). On-prem/SCS self-hosted container is custom enterprise pricing.",excellent,33,yes,yes,yes,yes,"Digitizing STEM content — math/physics equations, chemistry structures, scientific tables, and handwritten notes — into LaTeX, Markdown, or DOCX, whether interactively via the Snip app or programmatically via the Convert API for document-processing pipelines."
mindee,Mindee,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: Free plan = 250 pages/month, no credit card required. Paid subscriptions (billed annually, ~10% discount): Starter EUR 44/mo (500 credits/mo, overage EUR 0.05/credit); Pro EUR 179/mo (2,500 credits/mo, overage EUR 0.04/credit); Business EUR 584/mo (10,000 credits/mo, overage EUR 0.035/credit); Enterprise = custom quote (~250,000+ credits/year). Effective pay-as-you-go rate ranges from ~USD 0.10/page at low volume down to ~USD 0.01/page at high volume. 1 credit = 1 physical page submitted (a 5-page doc = 5 credits), regardless of document type or complexity. A 14-day free trial of paid features is also offered.",good,,limited,no,yes,yes,"Teams that want fast, training-free structured-JSON extraction from business documents (invoices, receipts, IDs, bank statements, payslips, contracts) via a hosted API, with prebuilt endpoints plus custom/generated models and a generous 250-page/month free tier — and who are comfortable sending documents to a cloud service."
mistral-ocr,Mistral OCR API (Document AI),False,True,False,proprietary,pay_as_you_go,"As of 2026-06: OCR text extraction $2 per 1,000 pages (~500 pages/$1); $1 per 1,000 pages with the Batch API (50% discount). Document annotation / structured-output extraction is billed separately at $3 per 1,000 pages. Vertex AI and Azure AI Foundry billing is metered through those clouds at the partner-model rate. No standing free OCR allowance; la Plateforme offers limited free experimentation credits/quotas for new accounts but no dedicated perpetual free OCR tier.",excellent,,yes,yes,yes,yes,"High-volume, low-cost conversion of PDFs and scanned/photographed documents (invoices, forms, reports, contracts) into structured Markdown + JSON for RAG pipelines and downstream LLM agents — especially when you need tables, math, multilingual text, and handwriting handled by a single commodity-priced API without managing GPUs."
ocr-space,OCR.space OCR API,False,True,False,proprietary,freemium,"As of 2026-06: Free tier $0. PRO $30/month (300,000 requests/mo, 5 MB file limit). PRO PDF $60/month (300,000 requests/mo, ~100 MB files, 999+ PDF pages). Enterprise custom (commonly cited starting ~$999/month) adds on-premise/self-hosted deployment, custom OCR tuning, guaranteed 100% uptime, and priority support. Engine 3 has its own separate quotas (~2,500 free / ~30,000 PRO monthly).",good,200,limited,no,yes,limited,"Quick, low-cost extraction of plain text from clean printed images and small multipage PDFs, generating searchable (""sandwich"") PDFs, and prototyping — where a generous free tier and a zero-install REST call matter more than enterprise-grade accuracy, layout fidelity, or field-level extraction."
pen2txt,Pen2Txt,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06 (EUR, monthly subscription, credit-based; ~1 credit = 1 page of handwritten text): Free trial = 3 credits (no card). Base = EUR 14.90/mo (100 credits). Premium = EUR 29.90/mo (250 credits). Enterprise = EUR 49.90/mo (500 credits). Month-to-month, no long-term commitment; unused credits do not roll over.",varies,,yes,unknown,no,limited,"Individuals and small teams (students, researchers, professionals) digitizing handwritten notes, letters, journals, and forms — especially cursive or mixed cursive/print in common Latin or CJK languages — who also want built-in correction, summarization, and translation, and who do not need an API or offline processing."
reducto,Reducto,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06: credit-based. Standard plan is pay-as-you-go at $0.015/credit (i.e. $15 per 1,000 credits; $1 buys ~67 credits). Parse costs 1 credit/page (standard) or 2 credits/page (complex); Agentic Parse 2 credits/page (standard) or 4 credits/page (complex); advanced chart agent +4 credits/chart; text files (HTML/TXT/RTF) 0.5 credits/page; spreadsheets 1 credit per 1,000 cells (accurate) or per 5,000 cells (fast). Extract 2 credits/page (Deep Extract 4 credits/page + 0.1/field, 30-credit minimum/doc); Split 2 (Deep Split 4) credits/page; Classify 0.5 credits/page (reads first 5 pages by default = 2.5 credits/classification); Edit 4 credits/page. Effective floor ~$0.015/page for simple Parse. Growth/Enterprise tiers are custom-priced with volume discounts.",excellent,100,yes,unknown,yes,yes,"Enterprise teams (finance, insurance, healthcare) parsing high volumes of ugly real-world PDFs — complex/merged-cell tables, scanned and handwritten forms, financial statements — into LLM-ready structured JSON/markdown, with VPC/on-prem and HIPAA options."
taggun,Taggun Receipt OCR,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06 (USD): Developer $28/mo (500 scans, ~$0.056/scan), Startup $99/mo (1,800 scans), Business $399/mo (8,000 scans, $0.050/scan), Advanced $799/mo (20,000 scans, $0.040/scan), Enterprise custom. Overage ~$0.060–$0.040/scan by tier. ~10% discount on annual billing. 30-day free trial (unlimited scans, no charge if cancelled in trial).",good,205,limited,no,limited,limited,"Production receipt and invoice data extraction at scale — expense management, loyalty/rewards validation, and receipt fraud detection — where you want a turnkey API that returns structured fields (total, tax, date, merchant, line items, tax IDs) rather than raw OCR text."
upstage-document-parse,Upstage Document Parse / Document OCR,False,True,False,proprietary,pay_as_you_go,"As of 2026-06: Document Parse Standard $0.01/page, Enhanced $0.03/page, Auto mode selects Standard/Enhanced per page. Standalone Document OCR endpoint $0.0015/page. Prices exclude 10% VAT. Prepaid-credit bonus tiers scale with monthly commitment (Explore $100+/mo +10%, Build $500+/mo +15%, Scale $5,000+/mo +20%; higher yearly bonuses up to ~+40%). Self-hosted via AWS Marketplace SageMaker listings billed per instance-hour (not flat): standard Document Parse ~$10/hour real-time and ~$15/hour batch (instance-dependent); Document Parse Enhanced ~$12/hour real-time (ml.g6.12xlarge); plus underlying AWS infrastructure costs. New users get free sign-up credits and Upstage Studio agents include 10 free runs with no credit card (no permanent free tier).",good,,limited,yes,yes,yes,"RAG ingestion and LLM-ready conversion of complex, layout-heavy business documents (PDFs, scans, slides, spreadsheets) into clean HTML/Markdown — especially when Korean/CJK content, complex/multi-page tables, charts, or forms are involved."
veryfi,Veryfi OCR API,False,True,False,proprietary,free_tier_then_paid,"As of 2026-06 (USD): Free plan = 100 documents/month, $0. Starter plan (0-25,000 docs/mo) = $500/month minimum, billed per document: receipts $0.08, invoices with line items $0.16 (other doc types higher, e.g. bank checks/statements ~$0.25, W-2/W-9 ~$0.16). $500 minimum covers ~6,250 receipts or ~3,125 invoices/month. Custom/volume plan for 25,000+ docs/mo with volume discounts and no monthly minimum (contact sales@veryfi.com). 12-month commitment adds ~$0.01/document discount. Billed monthly in advance; non-USD converted at exchange rates. An API transaction = one document of up to 15 pages.",excellent,39,yes,no,yes,yes,"High-volume, structured extraction of receipts and invoices (line items, taxes, tips, vendor, totals) into JSON, plus other financial documents (bank checks/statements, W-2/W-9, business cards) — for expense management, accounts payable, and fintech where pre-trained ""Day 1"" models and near real-time API throughput matter more than self-hosting."
